,subject,body,department
1100,WHERE IS MY ECHOWAVE MINI???,I ORDERED THIS IN JULY AND STILL NO TRACKING INFO!! I'M IN THE UK AND NEED THIS FAST!! FIX THIS NOW!!,Shipping
1101,Order #51734 - AuraPods Gen 2 Stuck in Transit,"Dear Support Team,

I placed an order for AuraPods Gen 2 on July 11 (Order #51734) to be shipped to the Netherlands. The tracking information shows that the package has been stuck in transit for an extended period. I already emailed about this issue once but haven't received an update. Could you please investigate and provide an estimated delivery date?

Thank you for your assistance.

Best regards,",Shipping
1102,BassHub Pro Limited Order #60531 Not Delivered,Ordered BassHub Pro Limited on July 02 to Sweden. Still not delivered. Need it urgently for an event. What's the status?,Shipping
1103,WHERE IS MY ECHOWAVE MINI???,ORDERED IN SEPTEMBER AND IT'S STILL NOT HERE! I WANT TO RETURN IT AND GET MY MONEY BACK NOW!,Shipping
1104,How do I return this PulseDock?,Your return instructions are garbage. I need this sorted ASAP for an event.,Shipping
1105,Question about my StreamLink Hub delivery,"Hello, I ordered a StreamLink Hub in June but it hasn't arrived yet. I'm in the Netherlands. Could you please check on this? I'd really appreciate a quick resolution.",Shipping
1106,Where is my SoundBar Flex?,Still not delivered. Already emailed once. What's going on?,Shipping
1107,No tracking info for my WavePanel Touch order,"Hi, I ordered a WavePanel Touch in August but haven't received any tracking information. Could you please check on this? Also, I might need to return it - what's the refund process?",Shipping
1108,MISSING RETURN LABEL FOR ORDER #89292 - STREAMLINK HUB,I ORDERED THE STREAMLINK HUB ON FEBRUARY 05 (ORDER #89292) TO THE UK AND IT'S DEFECTIVE. I WANT TO RETURN IT FOR A REFUND BUT THERE'S NO RETURN LABEL IN THE BOX! THIS IS RIDICULOUS. SEND ME THE LABEL IMMEDIATELY OR I'M DISPUTING THE CHARGE!,Shipping
1109,Incorrect shipping address for AuraPods Gen 2 (Order #16023),"Hello, I placed an order for AuraPods Gen 2 on May 23 (Order #16023) to be shipped to France, but I believe the shipping address is incorrect. I already emailed about this once but haven't received a response. Could you please confirm the address on file and correct it if necessary? Thank you for your help.",Shipping
1110,Where is my PulseDock order?,I ordered a PulseDock in early August to the Netherlands and it still hasn't arrived. I already emailed about this once but haven't heard back. Can you please check the status?,Shipping
1111,"Oh great, my EchoWave Mini is touring France?","So I already emailed about the wrong address, but apparently my EchoWave Mini is now on a European vacation. Can we maybe, I don't know, fix this?",Shipping
1112,Need help with my order,I think I might have entered the wrong address for my BassHub Pro Limited. Can you help me fix this?,Shipping
1113,Missing Tracking Information for EchoWave One Plus (Order #12856),"Hello, I placed an order for the EchoWave One Plus on June 29 (Order #12856) to be shipped to France. However, I haven't received any tracking information yet. Could you please provide an update on the status of my order? Additionally, I would like to inquire about the return process and refund policy in case I decide to return the product. Thank you for your assistance.",Shipping
1114,Need help with EchoWave One return,I ordered the EchoWave One in October and need to return it. The return instructions are unclear. Can you please provide clear steps on how to return it for a refund?,Shipping
1115,NEED HELP NOW!!!,HOW DO I RETURN THESE AURAPODS??? I NEED THEM FOR AN EVENT AND YOUR INSTRUCTIONS MAKE NO SENSE!!!,Shipping
1116,Incorrect Shipping Address for Order #20006 - EchoWave One Plus,"Hello, I recently placed an order for the EchoWave One Plus on July 03 (Order #20006) to be shipped to Sweden. Unfortunately, I noticed that the shipping address is incorrect. I would appreciate your assistance in resolving this issue as soon as possible, as I need this resolved quickly. Please let me know what steps I should take to correct the address. Thank you for your help.",Shipping
1117,Where are my AuraPods???,No tracking info and I need them like yesterday. Help!,Shipping
1118,How do I return my WavePanel Touch?,"Hi, I ordered a WavePanel Touch in August but need to return it. The return instructions aren't clear - can you help? Also, how do I get my refund after returning it? I'm in the Netherlands.",Shipping
1119,Missing return label for EchoWave One Plus,"I ordered an EchoWave One Plus in July and need to return it, but the return label is missing. I already emailed about this once but haven't received a response. Can you help?",Shipping
1120,Where are my AuraPods?,"I ordered AuraPods in early July to Germany, but they still haven't arrived. This is really frustrating. I need a fast resolution, please.",Shipping
1121,WHERE IS MY RETURN LABEL???,I ORDERED AURAPODS AND NEED TO RETURN THEM BUT THERE'S NO LABEL IN THE BOX. THIS NEEDS TO BE FIXED ASAP!,Shipping
1122,Order #48986 - No Tracking Information for BassHub Pro Limited,"Hello, I placed an order for the BassHub Pro Limited on September 05 (Order #48986) to be shipped to the USA. I still haven't received any tracking information, and I already emailed once about this issue. Could you please provide an update on the status of my order? Thank you for your help.",Shipping
1123,Where is my order??,EchoWave One not here. Needed it for event. What's going on?,Shipping
1124,,"Oh dear, I do hope this finds you well. I must apologize for troubling you again, but I'm afraid there's been a bit of a mix-up with my EchoWave Mini. I've already sent an email, you see, and I'm ever so sorry to bother you once more, but the address seems to be incorrect. I do hope we can sort this out at your earliest convenience. Many thanks in advance for your kind assistance.",Shipping
1125,EchoWave One Order #58956 Not Delivered,"Hello, I placed an order for the EchoWave One on July 26 (order #58956) to be shipped to the Netherlands. I haven't received it yet, and I already emailed about this once. Could you please check the status and let me know when I can expect delivery? Thank you for your help.",Shipping
1126,Where's my EchoWave Mini?,No tracking info. I want a refund if it's not coming.,Shipping
1127,Missing return label for AuraPods,"Hello, I recently ordered AuraPods and need to return them for a refund. However, I didn't receive a return label. Could you please assist me with this?",Shipping
1128,Missing return label,I need to return my EchoWave One but there's no label. This is urgent - I needed it for an event!,Shipping
1129,Order #55876 for StreamLink Hub stuck in transit to France,"Hi, I ordered a StreamLink Hub on February 25 (order #55876) to be shipped to France. The tracking shows it's been stuck in transit for a while now. I really need this resolved quickly as I was counting on having it by now. Can you please check what's going on and expedite the delivery? Thanks!",Shipping
1130,Where is my EchoWave One???,I ordered it ages ago and still nothing! Please help!,Shipping
1131,Regarding My Undelivered EchoWave One (Order #46058),"Dear Support Team, I hope this message finds you well. I am writing to kindly inquire about the status of my EchoWave One order (#46058), which was placed on July 02 and was supposed to be delivered to the USA. Unfortunately, I have not yet received the product, and I am quite concerned about this delay. I would greatly appreciate any assistance you could provide in resolving this matter promptly, as I am in urgent need of the product. Thank you so much for your time and understanding. Warm regards,",Shipping
1132,PulseDock Order #13827 Not Delivered - Urgent Resolution Needed,"I placed my order for the PulseDock on January 19 (Order #13827) to be shipped to Sweden. It has not arrived yet, and I already emailed about this issue once with no response. This is unacceptable. I demand immediate tracking information or a full refund. Do not make me wait any longer.",Shipping
1133,Order #89031 - Still no tracking info for AuraPods Gen 2,I placed my order on March 30 and it's now been over a week with no tracking information. I already emailed about this once and still haven't received any update. I'm in Sweden - is there some special delay I should know about? This is getting ridiculous.,Shipping
